winner,matchup
Kansas,"{'team_a': 'Kansas', 'team_b': ""St. John's"", 'team_a_seed': 7, 'team_b_seed': 2, 'round': 2}"
Duke,"{'team_a': 'Duke', 'team_b': 'Arizona', 'team_a_seed': 1, 'team_b_seed': 4, 'round': 3}"
Alabama,"{'team_a': 'Wisconsin', 'team_b': 'Alabama', 'team_a_seed': 3, 'team_b_seed': 2, 'round': 3}"
Houston,"{'team_a': 'Houston', 'team_b': 'Clemson', 'team_a_seed': 1, 'team_b_seed': 5, 'round': 3}"
Tennessee,"{'team_a': 'Kentucky', 'team_b': 'Tennessee', 'team_a_seed': 3, 'team_b_seed': 2, 'round': 3}"
Auburn,"{'team_a': 'Auburn', 'team_b': 'Texas A&M', 'team_a_seed': 1, 'team_b_seed': 4, 'round': 3}"
Iowa State,"{'team_a': 'Iowa State', 'team_b': 'Michigan State', 'team_a_seed': 3, 'team_b_seed': 2, 'round': 3}"
Florida,"{'team_a': 'Florida', 'team_b': 'Maryland', 'team_a_seed': 1, 'team_b_seed': 4, 'round': 3}"
Texas Tech,"{'team_a': 'Texas Tech', 'team_b': 'Kansas', 'team_a_seed': 3, 'team_b_seed': 7, 'round': 3}"
Duke,"{'team_a': 'Duke', 'team_b': 'Alabama', 'team_a_seed': 1, 'team_b_seed': 2, 'round': 4}"
Houston,"{'team_a': 'Houston', 'team_b': 'Tennessee', 'team_a_seed': 1, 'team_b_seed': 2, 'round': 4}"
Auburn,"{'team_a': 'Auburn', 'team_b': 'Iowa State', 'team_a_seed': 1, 'team_b_seed': 3, 'round': 4}"
Florida,"{'team_a': 'Florida', 'team_b': 'Texas Tech', 'team_a_seed': 1, 'team_b_seed': 3, 'round': 4}"
Houston,"{'team_a': 'Duke', 'team_b': 'Houston', 'team_a_seed': 1, 'team_b_seed': 1, 'round': 5}"
Auburn,"{'team_a': 'Auburn', 'team_b': 'Florida', 'team_a_seed': 1, 'team_b_seed': 1, 'round': 5}"
Houston,"{'team_a': 'Houston', 'team_b': 'Auburn', 'team_a_seed': 1, 'team_b_seed': 1, 'round': 6}"
